#threshold	hh_are	hh_f1score	n_exports
5	0.596154075642	0.657887394677	853148
10	0.469317393504	0.772591759934	853148
15	0.371236379093	0.851279429196	853148
20	0.327718463246	0.878247608485	853148
25	0.305963861775	0.889172847971	853148
30	0.298425161526	0.889767026321	853148
35	0.286622450188	0.894007490637	853148
40	0.279118122289	0.896030398577	853148
45	0.27579449813	0.894674968433	853148
50	0.277724305239	0.889828517735	853148
